executable,run_index,runtime_sec
./naive,0,2.299436740577221
./naive,1,2.2945856228470802
./naive,2,2.284947022795677
./naive,3,2.2627556547522545
./naive,4,2.269957635551691
./naive,5,2.2933078967034817
./naive,6,2.282798197120428
./naive,7,2.2907245494425297
./naive,8,2.2624864391982555
./naive,9,2.2847660817205906
./naive,10,2.281886737793684
./naive,11,2.2900777347385883
./naive,12,2.2848164588212967
./naive,13,2.261953730136156
./naive,14,2.2883475981652737
./naive,15,2.2869786396622658
./naive,16,2.284285791218281
./naive,17,2.2847337536513805
./naive,18,2.284997623413801
./naive,19,2.262103423476219
./naive,20,2.2836296521127224
./naive,21,2.288660805672407
./naive,22,2.2887066155672073
./naive,23,2.2986867427825928
./naive,24,2.281955201178789
./naive,25,2.2938959188759327
./naive,26,2.289836101233959
./naive,27,2.298880308866501
./naive,28,2.2991988323628902
./naive,29,2.2787076346576214
./naive,30,2.2862547300755978
./naive,31,2.2840538881719112
./naive,32,2.283861804753542
./naive,33,2.2701101414859295
./naive,34,2.2858566753566265
./naive,35,2.2859427742660046
./naive,36,2.2887688353657722
./naive,37,2.287160947918892
./naive,38,2.292905807495117
./naive,39,2.281871385872364
./naive,40,2.290830660611391
./naive,41,2.2828887812793255
./naive,42,2.2905630953609943
./naive,43,2.2618884555995464
./naive,44,2.2832294926047325
./naive,45,2.290311209857464
./naive,46,2.296460285782814
./naive,47,2.2878982573747635
./naive,48,2.2630292996764183
./naive,49,2.262581802904606
./optimized,0,2.3263823464512825
./optimized,1,2.3321966528892517
./optimized,2,2.329880241304636
./optimized,3,2.320825681090355
./optimized,4,2.303515750914812
./optimized,5,2.3455169647932053
./optimized,6,2.3507208600640297
./optimized,7,2.3411083966493607
./optimized,8,2.3387405201792717
./optimized,9,2.3412654884159565
./optimized,10,2.335123550146818
./optimized,11,2.344833455979824
./optimized,12,2.334028236567974
./optimized,13,2.3090987727046013
./optimized,14,2.3495575971901417
./optimized,15,2.3311190232634544
./optimized,16,2.330346055328846
./optimized,17,2.3279791064560413
./optimized,18,2.3101492524147034
./optimized,19,2.3492991141974926
./optimized,20,2.344678580760956
./optimized,21,2.3373182080686092
./optimized,22,2.329888317734003
./optimized,23,2.3439077883958817
./optimized,24,2.33938979357481
./optimized,25,2.3379975706338882
./optimized,26,2.360301300883293
./optimized,27,2.3375215493142605
./optimized,28,2.332739118486643
./optimized,29,2.337065428495407
./optimized,30,2.319774769246578
./optimized,31,2.3106634952127934
./optimized,32,2.33420018106699
./optimized,33,2.321593999862671
./optimized,34,2.3431416377425194
./optimized,35,2.3083410039544106
./optimized,36,2.3388521410524845
./optimized,37,2.3312767073512077
./optimized,38,2.353218447417021
./optimized,39,2.3342147171497345
./optimized,40,2.3435998782515526
./optimized,41,2.354198928922415
./optimized,42,2.3168706223368645
./optimized,43,2.3186091631650925
./optimized,44,2.317313816398382
./optimized,45,2.3207495510578156
./optimized,46,2.3426237367093563
./optimized,47,2.3297729939222336
./optimized,48,2.342879019677639
./optimized,49,2.313315737992525
